Round,Counsel. Rank,Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Penalty,Bond Years,Beds (Inst.)
2,27380,Tel Govt-NS LOC,OPEN-GEN,Telangana,CAIMS Karimnagar,ENT,775000,Info not available,2000000,1,1000
2,27682,Tel Govt-NS LOC,BCA-GEN,Telangana,Mamata Med Coll Khammam,ANAESTHESIOLOGY,750000,Info not available,2000000,1,1080
2,27719,Tel Govt-NS LOC,OPEN-GEN,Telangana,Kamineni IMS Narketpally,ORTHOPAEDICS,750000,Info not available,2000000,1,1060
2,27782,Tel Govt-NS LOC,OPEN-GEN,Telangana,CAIMS Karimnagar,ORTHOPAEDICS,775000,Info not available,2000000,1,1000
2,27827,Tel Govt-NS LOC,OPEN-FEM,Telangana,SVS Med Coll Mehboobnagar,ANAESTHESIOLOGY,750000,Info not available,2000000,1,760
2,28034,Tel Govt-NS LOC,ST-FEM,Telangana,Osmania Med Coll Hyderabad,OBG,10000, 50686,2000000,1,4800
2,28061,Tel Govt-NS LOC,BCD-GEN,Telangana,MNR Med Coll Sangareddy,GENERAL SURGERY,700000,Info not available,2000000,1,760
2,28117,Tel Govt-NS LOC,SC-GEN,Telangana,CAIMS Karimnagar,OBG,775000,Info not available,2000000,1,1000
2,28119,Tel Govt-NS LOC,BCD-FEM,Telangana,Mamata Med Coll Khammam,ENT,750000,Info not available,2000000,1,1080
2,28241,Tel Govt-NS LOC,SC-FEM,Telangana,Osmania Med Coll Hyderabad,OPHTHALMOLOGY,10000, 50686,2000000,1,4800
2,28290,Tel Govt-NS LOC,BCA-GEN,Telangana,Apollo IMSR Hyderabad,ORTHOPAEDICS,750000,Info not available,2000000,1,570
2,28356,Tel Govt-NS LOC,OPEN-GEN,Telangana,Osmania Med Coll Hyderabad,PATHOLOGY,10000, 50686,2000000,1,4800
2,28370,Tel Govt-NS LOC,BCB-GEN,Telangana,Bhaskar Med Coll Yenkapally,ORTHOPAEDICS,750000,Info not available,2000000,1,850
2,28384,Tel Govt-NS LOC,BCD-GEN,Telangana,Bhaskar Med Coll Yenkapally,GENERAL SURGERY,750000,Info not available,2000000,1,850
